ntaname,street_light_count,area_km2,lights_per_km2,demo_lat,demo_lng,matched_to,match_score,match_type
East Williamsburg,1523,52.26747191202279,29.13858168926806,40.71536831304266,-73.93679732464393,East Williamsburg,1.0,exact
Flatlands,1440,54.33718059194637,26.50119097665201,40.62627275131258,-73.93009704576421,Flatlands,1.0,exact
Upper East Side-Carnegie Hill,1411,20.065364282650783,70.3201785985017,40.774729278752346,-73.96117506690167,Upper East Side-Carnegie Hill,1.0,exact
Washington Heights (North),1407,24.77332983379753,56.7949488195354,40.85710596998177,-73.93283360000339,Washington Heights North,0.96,fuzzy
Bedford-Stuyvesant (East),1394,41.28970087480488,33.761445844007646,40.68816813873349,-73.93188771074401,Stuyvesant Heights,0.6046511627906976,fuzzy
Westchester Square,1380,15.382066627535156,89.71486299049617,40.83210014033775,-73.84864285146143,Westchester-Unionport,0.6666666666666666,fuzzy
Financial District-Battery Park City,1376,19.22674450420836,71.5669779508861,40.6173147077249,-73.97032564506422,Ocean Parkway South,0.4927536231884058,random_fallback
Bayside,1375,70.4100601954772,19.52845937331443,40.62485336898197,-74.02988693800246,Bay Ridge,0.75,fuzzy
Crown Heights (South),1359,20.053831062198267,67.76759990572239,40.66653577436102,-73.94877538132481,Crown Heights South,0.95,fuzzy
New Dorp-Midland Beach,1357,62.17951164529023,21.823908938705625,40.57176567065867,-74.10500821486329,New Dorp-Midland Beach,1.0,exact
Downtown Brooklyn-DUMBO-Boerum Hill,1355,23.731476118362348,57.097164678751774,40.69292656112427,-73.9859864892024,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.6987951807228916,fuzzy
Auburndale,1319,55.46403421224512,23.78117673432411,40.75103495410493,-73.78794869239438,Auburndale,1.0,exact
Mott Haven-Port Morris,1313,40.974743773997645,32.04412960437407,40.80734708109762,-73.91682097286562,Mott Haven-Port Morris,1.0,exact
Woodside,1311,32.950011151276044,39.78754343909317,40.74927748044024,-73.90373167132262,Woodside,1.0,exact
Astoria (North)-Ditmars-Steinway,1310,58.30161263835379,22.469361321546277,40.72143004417155,-73.84767249027793,Forest Hills,0.40816326530612246,random_fallback
Chelsea-Hudson Yards,1299,29.67175353274773,43.779010181057785,40.69150702435704,-73.9499047902708,Bedford,0.4878048780487805,random_fallback
Queens Village,1296,69.6556112413606,18.605823377377124,40.71545381259689,-73.7415315891986,Queens Village,1.0,exact
Concourse-Concourse Village,1296,26.502979762249243,48.90016185448015,40.83051084711268,-73.9157892332181,East Concourse-Concourse Village,0.9152542372881356,fuzzy
Prospect Lefferts Gardens-Wingate,1290,24.038690326320104,53.66348925372076,40.65874451122331,-73.94744179595176,Prospect Lefferts Gardens-Wingate,1.0,exact
Upper West Side (Central),1275,25.410668938479475,50.175774714425664,40.79037956272708,-73.97390846559182,Upper West Side,0.75,fuzzy
Pelham Parkway-Van Nest,1257,15.588352171403155,80.63713124893134,40.85440442277069,-73.85439425201002,Pelham Parkway,0.7567567567567568,fuzzy
Murray Hill-Broadway Flushing,1256,56.4526995453265,22.24871458966357,40.74422078382171,-73.97751534559363,Murray Hill-Kips Bay,0.6122448979591837,fuzzy
